step,episodes,updates,train_return,dense_return,episode_success,eval_success_rate,eval_dense_return,eval_train_return,critic_loss,actor_loss,tau
1,0,0,,,,0.0,5.8596364684467614,5.8596364684467614,nan,nan,nan
15,0,8,,,,0.0,7.479658116262169,7.479658116262169,0.5270587205886841,0.04565422236919403,0.004999999888241291
20,1,13,5.9444787457485635,5.9444787457485635,0.0,,,,0.8337042927742004,-0.13849304616451263,0.004999999888241291
30,1,23,,,,0.0,6.946473152362023,6.946473152362023,1.0337971448898315,-0.13213621079921722,0.004999999888241291
